CHEM	304	Sem: Photochemistry 	1	24	 One of the following - CHEM 105, CHEM 116, CHEM 120; or permission of the instructor.	 Arumainayagam	NPS - Natural and Physical Sciences	Spring; Every three years	Not Offered
CHEM	305	Modern Materials 	1.25	15	 PHYS 108 and either PHYS 210 or CHEM 361, or permission of the instructor.	 Belisle	MM - Mathematical Modeling and Problem Solving; NPS - Natural and Physical Sciences	Every other year; Fall	Not Offered
PHYS	331	Modern Materials	1.25	15	 PHYS 108 and either PHYS 210 or CHEM 361, or permission of the instructor.	 Belisle	MM - Mathematical Modeling and Problem Solving; NPS - Natural and Physical Sciences	Every other year; Fall	Not Offered
CHEM	307	Nanoscience 	1	15	 CHEM 205 or CHEM 120, and CHEM 211.	 Flynn	NPS - Natural and Physical Sciences	Spring; Every three years	Spring
CHEM	309	Computational Chemistry 	1	12	 (CHEM 105 and CHEM 205) or (CHEM 116 and CHEM 205) or CHEM 120, and CHEM 211 and MATH 116, or permission of the instructor.	 Mavros, M. Radhakrishnan	MM - Mathematical Modeling and Problem Solving; NPS - Natural and Physical Sciences	Every other year; Fall	Fall
CHEM	310	Sem: Astrochemistry 	1	24	 CHEM 105 or CHEM 120.	 Arumainayagam	NPS - Natural and Physical Sciences	Every three years	Not Offered
CHEM	318	Adv Organic Chem: Reactions 	1	16	 CHEM 212	 Carrico-Moniz, Miwa	NPS - Natural and Physical Sciences	Fall	Spring
BIOC	320	Adv Biochem Lab 	1	16	 BIOC 223/CHEM 223	 Oakes	LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Spring	Spring
CHEM	320	Adv Biochem Lab	1	16	 BIOC 223/CHEM 223	 Oakes	LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Spring	Spring
BIOC	323	Seminar: Chemical Biology 	1	16	 BIOC 223/CHEM 223 or BIOC 227/CHEM 227, or permission of instructor.	 Elmore, Woodford	NPS - Natural and Physical Sciences	Fall	Not Offered
CHEM	323	Seminar: Chemical Biology	1	16	 BIOC 223/CHEM 223 or BIOC 227/CHEM 227, or permission of instructor.	 Elmore, Woodford	NPS - Natural and Physical Sciences	Fall	Not Offered
BIOC	324	CSPW: Biochem for Soc Prob 	1	12	 BIOC 223/CHEM 223 or BIOC 227/CHEM 227, or permission of instructor. 	 Elmore	NPS - Natural and Physical Sciences	Every three years	Not Offered
CHEM	324	CSPW: Biochem for Soc Prob	1	12	 BIOC 223/CHEM 223 or BIOC 227/CHEM 227, or permission of instructor. 	 Elmore	NPS - Natural and Physical Sciences	Every three years	Not Offered
BIOC	325	Sem: Biosensors & Optogenetics 	1	12	 One of the following - CHEM 212, BIOC 223/CHEM 223, BIOC 227/CHEM 227, BIOC 220/BISC 220; or permission of the instructor.	 Tantama	NPS - Natural and Physical Sciences	Spring	Spring
CHEM	325	Sem: Biosensors & Optogenetics	1	12	 One of the following - CHEM 212, BIOC 223/CHEM 223, BIOC 227/CHEM 227, BIOC 220/BISC 220; or permission of the instructor.	 Tantama	NPS - Natural and Physical Sciences	Spring	Spring
CHEM	330	Physical Chemistry I with Lab 	1.25	18	 (CHEM 205 or CHEM 120) and (PHYS 104 or PHYS 107) and (MATH 215 (strongly recommended) or MATH 205). Not open to students who have taken CHEM 331.	 Arumainayagam, Mavros, Wax	MM - Mathematical Modeling and Problem Solving; LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Fall	Fall
CHEM	330X	Physical Chemistry 	1	18	 (CHEM 205 or CHEM 120) and (PHYS 104 or PHYS 107) and (MATH 215 (strongly recommended) or MATH 205). Not open to students who have taken CHEM 331.	 Arumainayagam	NPS - Natural and Physical Sciences	Fall	Fall
BIOC	331	Biophys Chem 	1	24	 BIOC 223/CHEM 223 and MATH 116 or equivalent.	 M. Radhakrishnan	NPS - Natural and Physical Sciences; MM - Mathematical Modeling and Problem Solving	Spring	Fall
CHEM	331	Biophys Chem	1	24	 BIOC 223/CHEM 223 and MATH 116 or equivalent.	 M. Radhakrishnan	NPS - Natural and Physical Sciences; MM - Mathematical Modeling and Problem Solving	Spring	Fall
CHEM	334	Physical Chemistry II 	1	15	 CHEM 330 (or CHEM 331 by permission of the instructor) and either (PHYS 106 or PHYS 108) and MATH 215. Not open to students who have taken CHEM 335.	 M. Radhakrishnan, Mavros	MM - Mathematical Modeling and Problem Solving; NPS - Natural and Physical Sciences	Spring	Not Offered
CHEM	335	Physical Chemistry II w/Lab 	1.25	12	 CHEM 330 and (PHYS 106 or PHYS 108) and MATH 215. Not open to students who have taken CHEM 334.	 M. Radhakrishnan, Mavros	MM - Mathematical Modeling and Problem Solving; LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Spring	Spring
CHEM	341	Inorganic Chemistry w/Lab 	1.25	24	 Required CHEM 205 or CHEM 120, and CHEM 211; Strongly recommended CHEM 212.	Stanley, Verschoor	LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Spring	Spring
CHEM	350	Research or Individual Study 	1	25	Open by permission to students who have taken at least three chemistry courses.			Spring; Fall	Spring; Fall
CHEM	350H	Research or Individual Study 	0.5	15	Permission of the instructor.			Spring; Fall	Spring; Fall
CHEM	355	Thesis Research 	1	15	 Open only to Seniors with permission of the instructor.			Spring; Fall	Fall; Spring
CHEM	360	Senior Thesis Research 	1	25	Permission of the department.			Spring; Fall	Fall; Spring
CHEM	361	Analytical Chemistry w/Lab 	1.25	8	 Either (CHEM 205 and CHEM 211) or (CHEM 120 and CHEM 211). Suggested - PHYS 106 or PHYS 108.	Flynn	LAB - Natural and Physical Sciences Laboratory; NPS - Natural and Physical Sciences	Fall	Fall
CHEM	365	Thesis 	1	15	 CHEM 355 and permission of the department.			Spring; Fall	Fall; Spring
CHEM	370	Senior Thesis 	1	25	 CHEM 360 and permission of department.			Spring; Fall	Fall; Spring
