Psychology,1,1,https://catalog.wellesley.edu/display.php?pos=65&doc_type=Psychology+introduction
Religion,1,1,https://catalog.wellesley.edu/display.php?pos=68&doc_type=Religion+introduction
Russian,1,1,https://catalog.wellesley.edu/display.php?pos=69&doc_type=Russian+introduction
Russian Area Studies,1,,https://catalog.wellesley.edu/display.php?pos=70&doc_type=Russian+Area+Studies+introduction
Sociology,1,1,https://catalog.wellesley.edu/display.php?pos=71&doc_type=Sociology+introduction
South Asia Studies,1,1,https://catalog.wellesley.edu/display.php?pos=72&doc_type=South+Asia+Studies+introduction
Spanish,1,,https://catalog.wellesley.edu/display.php?pos=73&doc_type=Spanish+introduction
Statistics,,1,https://catalog.wellesley.edu/display.php?pos=54&doc_type=statistics%20minor
Studio Art,1,1,https://catalog.wellesley.edu/display.php?pos=75&doc_type=Studio+Art+introduction
Teaching and Learning Studies,,1,https://catalog.wellesley.edu/display.php?pos=29&doc_type=education%20minors
Theatre Studies,1,,https://catalog.wellesley.edu/display.php?pos=80&doc_type=Theatre+Studies+introduction
Women's and Gender Studies,1,1,https://catalog.wellesley.edu/display.php?pos=81&doc_type=Women%27s+and+Gender+Studies+introduction
