EALC	221	Gateways to East Asia (Eng) 	1	25		 Goree			
EALC	225	Trad. Romances East Asia (Eng) 	1	15	 None. Not open to students who have taken EALC 325.	 Widmer			
CPLT	236	The Girl in East Asia (Eng) 	1	30	 None	 Zimmerman			
EALC	236	The Girl in East Asia (Eng)	1	30	 None	 Zimmerman			
EALC	325	Trad. Romances East Asia (Eng) 	1	10	 One 200-level course in either Chinese or Japanese language and culture required. Not open to students who have taken EALC 225.	 Widmer			
EALC	345	Sem: Lang, Nation & Identity (Eng) 	1	20	 One 200-level course in either Chinese, Japanese, or Korean language and culture required.	 Lee			
EALC	221	Gateways to East Asia (Eng) 							
EALC	225	Trad. Romances East Asia (Eng) 							
CPLT	236	The Girl in East Asia (Eng) 							
EALC	236	The Girl in East Asia (Eng)							
EALC	325	Trad. Romances East Asia (Eng) 							
EALC	345	Sem: Lang, Nation & Identity (Eng) 							
