LAST	101	Intro Latin American Studies 							
HIST	207	Mod Issues in Latin Am. Hist. 							
LAST	207	Mod Issues in Latin Am. Hist.							
HIST	211	Spanish Rule in the New World 							
LAST	211	Spanish Rule in the New World							
LAST	217	Politics of Latin America 							
POL2	207	Politics of Latin America							
LAST	221H	Memories of Cuba 							
ECON	241	Poverty & Inequality Latin Am. 							
LAST	241	Poverty & Inequality Latin Am.							
ANTH	245	Anthropology of Latin America 							
LAST	245	Anthropology of Latin America							
LAST	250	Research or Individual Study 							
LAST	250H	Research or Individual Study 							
LAST	273	Latin American Civilization 							
SPAN	273	Latin American Civilization							
LAST	275	Making of Modern Lat Am Culture 							
SPAN	275	Making of Modern Lat Am Culture							
LAST	287	Women Poets of Spain & Latin America 							
SPAN	287	Women Poets of Spain & Latin America							
LAST	317	Sem: Intermedial Pleasures 							
SPAN	317	Sem: Intermedial Pleasures							
LAST	350	Research or Individual Study 							
LAST	350H	Research or Individual Study 							
LAST	360	Senior Thesis Research 							
LAST	370	Senior Thesis 							
