JWST	101	Israeli Cinema 							
JWST	102	Introduction to Jewish Studies 							
REL	102	Introduction to Jewish Studies							
JWST	104	Study of Hebrew Bible/Old Test 							
REL	104	Study of Hebrew Bible/Old Test							
JWST	201	Bible and Popular Culture 							
REL	201	Bible and Popular Culture							
JWST	209	The Bible & Film 							
REL	209	The Bible & Film							
ITAS	209	Jewish Italian Literature (Eng) 							
JWST	211	Jewish Italian Literature (Eng)							
CAMS	233	American Jews and the Media 							
JWST	233	American Jews and the Media							
JWST	245	The Holocaust & the Nazi State 							
REL	245	The Holocaust & the Nazi State							
JWST	250	Research or Individual Study 							
JWST	250H	Research or Individual Study 							
ENG	270	Jewishness in U.S. Literature 							
JWST	270	Jewishness in U.S. Literature							
ENG	274	Diversification of US Lit, 1945-2000 							
JWST	274	Diversification of US Lit, 1945-2000							
JWST	277	Jewish Women Writers of Lat Am 							
SPAN	277	Jewish Women Writers of Lat Am							
ENG	290	Minorities in U.S. Comics 							
JWST	290	Minorities in U.S. Comics							
JWST	344	Monuments & the Sacred 							
REL	344	Monuments & the Sacred							
CPLT	345	Representing the Holocaust 							
JWST	345	Representing the Holocaust							
JWST	350	Research or Individual Study 							
JWST	350H	Research or Individual Study 							
JWST	360	Senior Thesis Research 							
JWST	370	Senior Thesis 							
JWST	377	Jewish Women Writers of Lat Am 							
SPAN	377	Jewish Women Writers of Lat Am							
JWST	380	Special Topics Jewish Studies 							
