RUSS	101	Elementary Russian I 							
RUSS	102	Elementary Russian II 							
RUSS	201	Intermediate Russian I 							
RUSS	202	Intermediate Russian II 							
RUSS	203W	Russian in Moscow 							
RUSS	250	Research or Individual Study 							
RUSS	250H	Research or Individual Study 							
RUSS	251	Russ Lit in Trans-19th Century 							
RUSS	255	Russian & Soviet Film (in Eng) 							
RUSS	272	Ideology & the Russian Novel 							
RUSS	276	Fedor Dostoevsky 							
RUSS	277	Tolstoy: Russia's Ecclesiast (Eng) 							
RUSS	286	Vladimir Nabokov (in Eng) 							
RUSS	301	Tpc: Moscow 							
RUSS	302	Adv Russ. II: Children & Laughter 							
RUSS	303W	Russian In Moscow 							
RUSS	305	St. Petersburg 							
RUSS	306	Comedy Blockbusters 							
RUSS	333H	19C Russian Narrative Poetry 							
RUSS	350	Research or Individual Study 							
RUSS	350H	Research or Individual Study 							
RUSS	355H	Russian Film (in Russian) 							
RUSS	360	Senior Thesis Research 							
RUSS	370	Senior Thesis 							
RUSS	376H	Fedor Dostoevsky 							
RUSS	377H	Tolstoy's Short Fiction (Russ) 							
RUSS	378H	Chekhov Short Stories 							
RUSS	386H	Vladimir Nabokov (in Russ) 							
