NEUR	100	Introduction to Neuroscience 							
NEUR	125Y	FYS: Brains, Minds & Machines 							
NEUR	200	Neurons, Networks & Behavior w/Lab 							
NEUR	240	Behavioral Neurophysiology 							
NEUR	250	Research or Individual Study 							
NEUR	250H	Research or Individual Study 							
NEUR	300	Capstone Seminar in Neuroscience 							
NEUR	305	Excitation, Plasticity & Disease w/Lab 							
BISC	306	Principles of Neural Development 							
NEUR	306	Principles of Neural Development							
NEUR	310	Neuroethology: Decision Making w/Lab 							
BISC	315	Neuroendocrinology 							
NEUR	315	Neuroendocrinology							
NEUR	325	Sleep, Learning & Memory 							
NEUR	332	Neuropharmacology 							
NEUR	335	Computational Neurosci w/Lab 							
NEUR	340	Behavioral Neurophysiology 							
NEUR	350	Research or Individual Study 							
NEUR	350H	Research or Individual Study 							
NEUR	360	Senior Thesis Research 							
