WGST	100Y	FYS: Body. Reproduction to Fashion 							
EDUC	103Y	FYS: Lessons of Childhood 							
WGST	102Y	FYS: Lessons of Childhood							
WGST	108	Social Construction of Inequalities 							
WGST	120	Intro to Women's & Gender Studies 							
WGST	121	Reading Elvis Presley 							
WGST	205	Love and Intimacy 							
SOC	205	Mod Families & Social Inequalities 							
WGST	211	Mod Families & Social Inequalities							
WGST	214	Women and Health 							
WGST	215	Gender Equality & Sexualities 							
WGST	216	Woman and Popular Culture 							
EDUC	217	Growing Up Gendered 							
WGST	217	Growing Up Gendered							
WGST	218	Stage Left 							
WGST	219	Gender in the Workplace 							
WGST	220	Am Health Care Hist: Gender, Race, Class 							
PEAC	201	Gender, Race & Carceral State 							
WGST	221	Gender, Race & Carceral State							
WGST	222	Gender & Sexuality Cont Amer 							
CAMS	240	Gendering the Bronze Screen 							
WGST	223	Gendering the Bronze Screen							
WGST	224	Feminist Methods 							
WGST	225	Politics and Sexuality 							
WGST	226	The Body 							
WGST	230	Gender and Technologies 							
PEAC	240	U.S. Public Health 							
WGST	240	U.S. Public Health							
WGST	245	Romance Films and Feminist Theories 							
CAMS	241	Asian/American Women in Film 							
WGST	249	Asian/American Women in Film							
WGST	250	Research or Individual Study 							
WGST	250H	Research or Individual Study 							
WGST	255	Transnational Perspectives 							
WGST	260	Critical Public Health 							
AMST	274	Gender & Race in Westerns 							
WGST	274	Gender & Race in Westerns							
WGST	296	Women & Economic Inequality 							
WGST	302	Global Health / Env. Crisis 							
WGST	305	"Sem: Rep of Women, Natives & ""Others"" "							
SOC	306	Sem: Women Leaders at Work 							
WGST	306	Sem: Women Leaders at Work							
WGST	307	Sem: Techno-Orientalism 							
WGST	310	Health Activism 							
SOC	311	Sem: Family and Gender Studies 							
WGST	311	Sem: Family and Gender Studies							
WGST	313	Fieldwork in Women's Studies 							
WGST	314	Sem: Transnational Feminisms 							
WGST	320	Sem: Race, Gender, and Science 							
SOC	322	Sem: Contemporary Reproduction 							
WGST	322	Sem: Contemporary Reproduction							
WGST	325	Asian Feminisms 							
WGST	326	Sem: Crossing the Border(s) 							
ES	328	Sem: Naturecultures 							
WGST	328	Sem: Naturecultures							
WGST	341	Sem: Anti-Carceral Feminism 							
WGST	350	Research or Individual Study 							
WGST	350H	Research or Individual Study 							
WGST	360	Senior Thesis Research 							
WGST	370	Senior Thesis 							
