JPN	101	Beginning Japanese I 							
JPN	102	Beginning Japanese II 							
JPN	201	Intermediate Japanese I 							
JPN	202	Intermediate Japanese II 							
JPN	231	Selected Readings Adv Japanese I 							
JPN	232	Advanced Readings in Japanese II 							
JPN	250	Research or Individual Study 							
JPN	250H	Research or Individual Study 							
JPN	251	Jpn Lit from Myth to Manga (Eng) 							
THST	251	Jpn Lit from Myth to Manga (Eng)							
JPN	252	Supernatural Japan (in Eng) 							
JPN	280	Japanese Pop Culture 							
JPN	290	Geisha, Samurai, Tokyo 							
JPN	308	Adv. Japanese Fiction & Essays 							
JPN	309	Adv Japanese-Contemp Soc Sci 							
JPN	314	Contemporary Japanese Narrative (Eng) 							
JPN	350	Research or Individual Study 							
JPN	350H	Research or Individual Study 							
JPN	352	Sem: Postwar Japan (Eng) 							
JPN	356	Sem: Hauntings in Modern Japan 							
JPN	360	Senior Thesis Research 							
JPN	370	Senior Thesis 							
