JWST	102	Introduction to Jewish Studies 							
REL	102	Introduction to Jewish Studies							
JWST	104	Study of Hebrew Bible/Old Test 							
REL	104	Study of Hebrew Bible/Old Test							
REL	105	Study of the New Testament 							
REL	108	Intro to Asian Religions 							
REL	111Y	FYS: Jesus of Nazareth 							
PEAC	119Y	FYS: Hiroshima Nagasaki Yasukuni 							
REL	119Y	FYS: Hiroshima Nagasaki Yasukuni							
REL	200	Theories of Religion 							
JWST	201	Bible and Popular Culture 							
REL	201	Bible and Popular Culture							
REL	206	The Hindu Worlds 							
SAS	206	The Hindu Worlds							
JWST	209	The Bible & Film 							
REL	209	The Bible & Film							
AFR	242	New World Afro-Atlantic Religions 							
REL	214	New World Afro-Atlantic Religions							
REL	215	Christian Spiritual Classics 							
REL	216	Christianity to 1600 							
AMST	218	Religion in America 							
REL	218	Religion in America							
MUS	219	Christian Ritual & Sacred Arts 							
REL	219	Christian Ritual & Sacred Arts							
AMST	228	Religious Themes Amer Fiction 							
REL	220	Religious Themes Amer Fiction							
CAMS	243	Love in Indian Cinema 							
REL	223/	Love in Indian Cinema							
REL	225	Women in Christianity 							
REL	226	The Virgin Mary 							
MUS	227	Sacred Sounds South Asia 							
REL	227	Sacred Sounds South Asia							
REL	230	Ethics 							
AMST	234	Rad Individual and Common Good 							
REL	231	Rad Individual and Common Good							
ANTH	233	The Anthropology of Religion 							
REL	233	The Anthropology of Religion							
ANTH	236	Divine Madness 							
REL	236	Divine Madness							
CLCV	240	Romans, Jews,  and Christians 							
REL	240	Romans, Jews,  and Christians							
REL	241	Courtesans in South Asia 							
SAS	241	Courtesans in South Asia							
REL	243	Women in the Biblical World 							
REL	244	Jerusalem: The Holy City 							
JWST	245	The Holocaust & the Nazi State 							
REL	245	The Holocaust & the Nazi State							
REL	250	Research or Individual Study 							
REL	250H	Research or Individual Study 							
REL	251	Religions in South Asia 							
SAS	251	Religions in South Asia							
REL	253	Buddhist Thought and Practice 							
REL	254	Chinese Thought and Religion 							
REL	255	Japanese Religion and Culture 							
REL	257	Contemplation and Action 							
REL	259	Christianity in Asia 							
MES	260	Religion & Culture in Muslim Soc 							
REL	260	Religion & Culture in Muslim Soc							
MES	261	Cities in the Islamic World 							
REL	261	Cities in the Islamic World							
REL	262	Formation of Islamic Tradition 							
MES	263	Islam in the Modern World 							
REL	263	Islam in the Modern World							
MES	264	Minorities in the Ottoman Empire 							
REL	264	Minorities in the Ottoman Empire							
MES	265	Rel, Pol, Cult in Mod Turkey 							
REL	265	Rel, Pol, Cult in Mod Turkey							
HIST	285	Ottoman State/Society 1300-1923 							
REL	266	Ottoman State/Society 1300-1923							
MES	267	Muslim Ethics 							
REL	267	Muslim Ethics							
REL	268	Religion and Culture in Egypt 							
REL	269	Religion and Culture in Iran 							
REL	270	Religions of the Silk Road 							
REL	281	Sacred Arts of South Asia 							
SAS	211	Sacred Arts of South Asia							
REL	300	Theories of Religion 							
REL	301	Sem: Religion in Modern S.Asia 							
SAS	301	Sem: Religion in Modern S.Asia							
REL	302	Narratives from South Asia 							
SAS	302	Narratives from South Asia							
REL	303	Sem: Models of Relig Pluralism 							
SAS	303	Sem: Models of Relig Pluralism							
AMST	318	"Sem:The ""Enemy Race"" in WWII "							
REL	318	"Sem:The ""Enemy Race"" in WWII"							
AMST	319	Sem: Religion, Law & Politics 							
REL	319	Sem: Religion, Law & Politics							
REL	323	Seminar: Feminist Theologies 							
REL	326	Seminar: Liberation Theology 							
REL	330	Sem: Religion and Violence 							
REL	342	Archaeology Biblical World 							
JWST	344	Monuments & the Sacred 							
REL	344	Monuments & the Sacred							
REL	345	Sem: Enslavement and the Bible 							
MES	347	Muslim Ethics 							
REL	347	Muslim Ethics							
REL	348	Religion and Culture in Egypt 							
REL	350	Research or Individual Study 							
REL	350H	Research or Individual Study 							
REL	353	Sem: Zen Buddhism 							
REL	357	Sem: Issues Comparative Religion 							
MES	359	Sem: Power, Legitimacy, Islam 							
REL	359	Sem: Power, Legitimacy, Islam							
REL	360	Senior Thesis Research 							
MES	361	Sem: Studying Islam & Mid East 							
REL	361	Sem: Studying Islam & Mid East							
MES	362	Sem: Poetry in Islamic World 							
REL	362	Sem: Poetry in Islamic World							
MES	363	Sem: Law in Muslim Societies 							
REL	363	Sem: Law in Muslim Societies							
REL	364	Sem: Sufism: Islamic Mysticism 							
MES	365	Cities in the Islamic World 							
REL	365	Cities in the Islamic World							
PHIL	366	Sem: Islamic Philosophy/Theology 							
REL	366	Sem: Islamic Philosophy/Theology							
MES	367	Seminar: Muslim Travelers 							
REL	367	Seminar: Muslim Travelers							
ARAB	368	Writing Islamic History 							
REL	368	Writing Islamic History							
REL	370	Senior Thesis 							
REL	380	Sem:Adv Topics in the Study of Religion 							
