PORT	101	Elementary Portuguese 							
PORT	102	Elementary Portuguese 							
PORT	103	Intensive Elementary Portuguese 							
PORT	203	Intensive Intermediate Portuguese 							
PORT	241	Intro to Lusophone Studies 							
PORT	250	Research or Individual Study 							
PORT	250H	Research or Individual Study 							
AFR	256	The Portuguese-Speaking World 							
PORT	256	The Portuguese-Speaking World							
PORT	266	Early Modern Iberian Lit & Culture 							
SPAN	266	Early Modern Iberian Lit & Culture							
PORT	310	Sem: Foreign Affairs- Spain & Portugal 							
SPAN	310	Sem: Foreign Affairs- Spain & Portugal							
MUS	314	Brazilian Music 							
PORT	314	Brazilian Music							
PORT	350	Research or Individual Study 							
