CS	115	Computing for Socio-Techno Web 							
MAS	115	Computing for Socio-Techno Web							
CS	121	Intro to Game Design 							
MAS	121	Intro to Game Design							
CS	221	Digital Worlds for Gaming 							
MAS	221	Digital Worlds for Gaming							
ARTH	222	Art History & Network Analysis 							
MAS	222	Art History & Network Analysis							
ANTH	246	Digital Anthropology 							
MAS	246	Digital Anthropology							
MAS	250	Research or Individual Study 							
MAS	250H	Research or Individual Study 							
MAS	260	Creative Problem-Solving 							
MAS	350	Research or Individual Study 							
MAS	350H	Research or Individual Study 							
MAS	360	Senior Thesis Research 							
MAS	370	Senior Thesis 							
