	course	0	1	2	3	4	5	6	7
130	ENG 291	American Studies	Comparative Literary Studies	English	English and Creative Writing				
105	ENG 292	American Studies	Comparative Literary Studies						
131	ENG 294	American Studies	Comparative Literary Studies	English	English and Creative Writing	Women's and Gender Studies			
720	ENG 295	Comparative Literary Studies	International Relations - Economics	International Relations - History	International Relations - Political Science				
750	ENG 296	Comparative Literary Studies	English	English and Creative Writing					
749	ENG 297	Comparative Literary Studies	Education Studies	Women's and Gender Studies					
779	ENG 298	Comparative Literary Studies	English	English and Creative Writing	Latin American Studies				
751	ENG 299	Comparative Literary Studies							
783	ENG 301	Comparative Literary Studies	English and Creative Writing						
784	ENG 302	Comparative Literary Studies	English and Creative Writing						
782	ENG 308	Comparative Literary Studies							
1015	ENG 311	English	English and Creative Writing	Medieval Renaissance Studies					
1016	ENG 314	English	English and Creative Writing						
785	ENG 315	Comparative Literary Studies	Medieval Renaissance Studies						
786	ENG 316	Comparative Literary Studies	Medieval Renaissance Studies						
787	ENG 317	Comparative Literary Studies	English	English and Creative Writing	Medieval Renaissance Studies				
788	ENG 319	Comparative Literary Studies							
1581	ENG 324	Medieval Renaissance Studies	Theatre Studies						
789	ENG 325	Comparative Literary Studies	English	English and Creative Writing	Medieval Renaissance Studies				
790	ENG 335	Comparative Literary Studies	English	English and Creative Writing					
791	ENG 336	Comparative Literary Studies	English	English and Creative Writing					
792	ENG 341	Comparative Literary Studies	English	English and Creative Writing					
793	ENG 342	Comparative Literary Studies	English	English and Creative Writing					
794	ENG 345	Comparative Literary Studies	English	English and Creative Writing					
795	ENG 346	Comparative Literary Studies	English	English and Creative Writing	Women's and Gender Studies				
796	ENG 347	Comparative Literary Studies	English	English and Creative Writing					
797	ENG 349	Comparative Literary Studies	English	English and Creative Writing					
798	ENG 350	Comparative Literary Studies							
799	ENG 350H	Comparative Literary Studies							
800	ENG 351H	Comparative Literary Studies							
801	ENG 355	Comparative Literary Studies							
132	ENG 356	American Studies	Comparative Literary Studies						
133	ENG 357	American Studies	Comparative Literary Studies	Women's and Gender Studies					
802	ENG 358	Comparative Literary Studies	English	English and Creative Writing					
803	ENG 360	Comparative Literary Studies							
804	ENG 370	Comparative Literary Studies							
805	ENG 382	Comparative Literary Studies							
780	ENG 383	Comparative Literary Studies	Women's and Gender Studies						
781	ENG 386	Comparative Literary Studies							
1889	ENG 387	Women's and Gender Studies							
1019	ENG 388	English	English and Creative Writing						
806	ENG 389	Comparative Literary Studies							
807	ENG 393	Comparative Literary Studies							
1555	ENGR 120	Latin American Studies							
991	ENGR 305	Education Studies							
1026	ES 100	Environmental Studies							
1027	ES 101	Environmental Studies							
1024	ES 102	Environmental Studies							
1031	ES 105	Environmental Studies							
1060	ES 106	Environmental Studies							
1061	ES 150H	Environmental Studies							
1062	ES 151H	Environmental Studies							
1118	ES 201	Geosciences							
1025	ES 214	Environmental Studies	International Relations - History						
1063	ES 219	Environmental Studies							
1064	ES 220	Environmental Studies							
110	ES 228	American Studies	Economics	International Relations - History	International Relations - Political Science				
1548	ES 229	Latin American Studies							
1033	ES 233	Environmental Studies							
1035	ES 234	Environmental Studies							
721	ES 238	Comparative Literary Studies	Environmental Studies						
1065	ES 242	Environmental Studies							
535	ES 247	Biological Sciences							
1066	ES 251	Environmental Studies							
1381	ES 265	International Relations - History	International Relations - Political Science						
323	ES 267	Art History	Environmental Studies						
1038	ES 299	Environmental Studies	International Relations - Economics	International Relations - History	International Relations - Political Science				
1041	ES 300	Environmental Studies							
1067	ES 307	Environmental Studies							
1068	ES 310	Environmental Studies							
1269	ES 312	International Relations - Economics	International Relations - History						
1277	ES 325	International Relations - Economics	International Relations - History						
1069	ES 327	Environmental Studies							
1070	ES 327H	Environmental Studies							
1366	ES 328	International Relations - Economics	International Relations - History	International Relations - Political Science					
1549	ES 329	Latin American Studies							
1071	ES 347	Environmental Studies							
1072	ES 355	Environmental Studies							
1073	ES 362	Environmental Studies							
1074	ES 365	Environmental Studies							
1266	ES 381	International Relations - Economics	International Relations - History						
1042	ES 398	Environmental Studies							
1043	ES 399	Environmental Studies							
1047	EXTD 123	Environmental Studies							
1048	EXTD 128	Environmental Studies							
1077	FREN 202	French and Francophone Studies	French Cultural Studies						
1078	FREN 205	French and Francophone Studies	French Cultural Studies						
1079	FREN 206	French and Francophone Studies	French Cultural Studies						
1081	FREN 207	French and Francophone Studies	French Cultural Studies						
1094	FREN 208	French and Francophone Studies	French Cultural Studies						
1095	FREN 209	French and Francophone Studies	French Cultural Studies						
1075	FREN 210	French and Francophone Studies	French Cultural Studies	Medieval Renaissance Studies					
688	FREN 211	Cognitive and Linguistic Sciences - Linguistics Concentration	French and Francophone Studies	French Cultural Studies					
1076	FREN 212	French and Francophone Studies	French Cultural Studies						
1096	FREN 213	French and Francophone Studies	French Cultural Studies						
1097	FREN 214	French and Francophone Studies	French Cultural Studies						
1098	FREN 217	French and Francophone Studies	French Cultural Studies						
34	FREN 218	Africana Studies - Africa Concentration	Africana Studies - The Caribbean and Latin America Concentration						
1082	FREN 220	French and Francophone Studies	French Cultural Studies						
1099	FREN 221	French and Francophone Studies	French Cultural Studies						
592	FREN 222	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	French and Francophone Studies	French Cultural Studies				
1100	FREN 224	French and Francophone Studies	French Cultural Studies	Medieval Renaissance Studies					
1083	FREN 225	French and Francophone Studies	French Cultural Studies						
1080	FREN 226	French and Francophone Studies	French Cultural Studies						
1084	FREN 227	French and Francophone Studies	French Cultural Studies						
1101	FREN 228	French and Francophone Studies	French Cultural Studies						
134	FREN 229	American Studies	French and Francophone Studies	French Cultural Studies					
1085	FREN 230	French and Francophone Studies	French Cultural Studies						
1086	FREN 232	French and Francophone Studies	French Cultural Studies	Jewish Studies					
1087	FREN 233	French and Francophone Studies	French Cultural Studies						
722	FREN 234	Comparative Literary Studies							
1102	FREN 235	French and Francophone Studies	French Cultural Studies						
1088	FREN 237	French and Francophone Studies	French Cultural Studies						
1103	FREN 241	French and Francophone Studies	French Cultural Studies						
1104	FREN 278	French and Francophone Studies	French Cultural Studies	Medieval Renaissance Studies					
573	FREN 300	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Environmental Studies	French and Francophone Studies	French Cultural Studies			
1105	FREN 302	French and Francophone Studies	French Cultural Studies						
1106	FREN 303	French and Francophone Studies	French Cultural Studies	Medieval Renaissance Studies					
1089	FREN 305	French and Francophone Studies	French Cultural Studies						
1107	FREN 306	French and Francophone Studies	French Cultural Studies						
1108	FREN 307	French and Francophone Studies	French Cultural Studies						
689	FREN 308	Cognitive and Linguistic Sciences - Linguistics Concentration	French and Francophone Studies	French Cultural Studies					
1109	FREN 313	French and Francophone Studies	French Cultural Studies						
593	FREN 314	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	French and Francophone Studies	French Cultural Studies				
1110	FREN 315	French and Francophone Studies	French Cultural Studies						
1111	FREN 317	French and Francophone Studies	French Cultural Studies						
1112	FREN 319	French and Francophone Studies	French Cultural Studies						
1090	FREN 322	French and Francophone Studies	French Cultural Studies						
1091	FREN 323	French and Francophone Studies	French Cultural Studies	Women's and Gender Studies					
1092	FREN 324	French and Francophone Studies	French Cultural Studies						
35	FREN 330	Africana Studies - Africa Concentration	Africana Studies - The Caribbean and Latin America Concentration	French and Francophone Studies	French Cultural Studies				
1093	FREN 332	French and Francophone Studies	French Cultural Studies						
1113	FREN 333	French and Francophone Studies	French Cultural Studies	Medieval Renaissance Studies					
1114	FREN 356	French and Francophone Studies	French Cultural Studies						
1030	GEOS 101	Environmental Studies	Geosciences						
1049	GEOS 102	Environmental Studies	Geosciences						
1115	GEOS 200	Geosciences							
1117	GEOS 201	Geosciences							
1116	GEOS 203	Geosciences							
1050	GEOS 208	Environmental Studies	Geosciences						
1119	GEOS 210	Geosciences							
1051	GEOS 215	Environmental Studies							
1120	GEOS 218	Geosciences							
1121	GEOS 220	Geosciences							
1045	GEOS 223	Environmental Studies	Geosciences						
1052	GEOS 230	Environmental Studies							
409	GEOS 304	Astronomy	Environmental Studies	Geosciences					
408	GEOS 313	Astronomy	Geosciences						
410	GEOS 315	Astronomy	Environmental Studies	Geosciences					
411	GEOS 316	Astronomy	Geosciences						
412	GEOS 317	Astronomy	Geosciences						
413	GEOS 318	Astronomy	Geosciences						
414	GEOS 320	Astronomy	Environmental Studies	Geosciences					
415	GEOS 350	Astronomy	Geosciences						
416	GEOS 350G	Astronomy	Geosciences						
417	GEOS 360	Astronomy	Geosciences						
418	GEOS 370	Astronomy	Geosciences						
1147	GER 130	German Studies							
1148	GER 130Y	German Studies							
1123	GER 201	German Studies							
1124	GER 202	German Studies							
1125	GER 202W	German Studies							
1126	GER 225	German Studies							
1146	GER 229	German Studies							
1127	GER 231	German Studies							
1128	GER 234	German Studies							
1129	GER 236	German Studies							
1130	GER 238	German Studies							
1131	GER 239	German Studies							
1132	GER 250	German Studies							
1133	GER 250H	German Studies							
1134	GER 258	German Studies							
569	GER 286	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	German Studies					
1135	GER 325	German Studies							
1136	GER 329	German Studies	Women's and Gender Studies						
1137	GER 338	German Studies							
1138	GER 350	German Studies							
1139	GER 350H	German Studies							
1140	GER 360	German Studies							
1149	GER 362	German Studies							
1141	GER 370	German Studies							
1142	GER 385	German Studies							
1143	GER 386	German Studies							
1144	GER 387	German Studies							
135	GER 388	American Studies	German Studies						
1145	GER 389	German Studies							
601	GRK 101	Classical Civilization							
602	GRK 102	Classical Civilization							
603	GRK 201	Classical Civilization							
604	GRK 202	Classical Civilization							
605	GRK 203	Classical Civilization							
606	GRK 250	Classical Civilization							
607	GRK 250H	Classical Civilization							
608	GRK 302	Classical Civilization							
609	GRK 303	Classical Civilization							
610	GRK 304	Classical Civilization							
611	GRK 306	Classical Civilization							
612	GRK 307	Classical Civilization							
613	GRK 308	Classical Civilization							
614	GRK 309	Classical Civilization							
615	GRK 311	Classical Civilization							
616	GRK 350	Classical Civilization							
617	GRK 350H	Classical Civilization							
655	HEBR 201	Classical Civilization							
1193	HIST 114Y	History	International Relations - Economics						
1194	HIST 116Y	History	Russian Area Studies						
656	HIST 200	Classical Civilization	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
1195	HIST 201	History	International Relations - Economics	International Relations - Political Science	Jewish Studies				
136	HIST 203	American Studies	Education Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science		
137	HIST 204	American Studies	Education Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science		
1196	HIST 205	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
138	HIST 207	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies		
1197	HIST 208	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Medieval Renaissance Studies			
1198	HIST 211	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies			
1199	HIST 212	History	International Relations - Economics	International Relations - Political Science	Latin American Studies				
1200	HIST 213	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies	Medieval Renaissance Studies		
1201	HIST 214	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Medieval Renaissance Studies			
51	HIST 215	Africana Studies - The Caribbean and Latin America Concentration	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies		
1202	HIST 218	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies			
139	HIST 220	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
1014	HIST 221	English	English and Creative Writing	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Medieval Renaissance Studies	
1203	HIST 222	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Medieval Renaissance Studies			
657	HIST 228	Classical Civilization	History	International Relations - Economics	International Relations - Political Science				
658	HIST 229	Classical Civilization	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
659	HIST 230	Classical Civilization	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
660	HIST 231	Classical Civilization	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
1204	HIST 232	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Medieval Renaissance Studies			
1205	HIST 233	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
1206	HIST 234	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Medieval Renaissance Studies			
1207	HIST 240	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
1208	HIST 242	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies			
1209	HIST 243	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies			
140	HIST 244	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies		
141	HIST 245	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies		
1211	HIST 246	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Medieval Renaissance Studies	Russian Area Studies		
1210	HIST 247	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Russian Area Studies			
1212	HIST 248	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Russian Area Studies			
142	HIST 249	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
1213	HIST 250	History	International Relations - Political Science						
1214	HIST 250H	History	International Relations - Political Science						
1261	HIST 251	History							
143	HIST 252	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
144	HIST 253	American Studies	Education Studies	History	International Relations - Economics	International Relations - Political Science			
145	HIST 254	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies		
146	HIST 256	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
147	HIST 260	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
1215	HIST 261	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
1216	HIST 262	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
1217	HIST 263	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
1219	HIST 264	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
11	HIST 265	Africana Studies - Africa Concentration	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
1220	HIST 266	History	International Relations - Economics	International Relations - Political Science	Middle Eastern Studies	South Asia Studies			
148	HIST 267	American Studies	History	International Relations - Economics	International Relations - Political Science				
1222	HIST 268	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
909	HIST 269	East Asian Studies							
1223	HIST 270	History	International Relations - Economics	International Relations - Political Science					
1224	HIST 272	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
1225	HIST 273	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
910	HIST 274	East Asian Studies							
1226	HIST 275	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
1227	HIST 276	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
149	HIST 277	American Studies	East Asian Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science		
911	HIST 278	East Asian Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
1228	HIST 279	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Medieval Renaissance Studies			
912	HIST 280	East Asian Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
1229	HIST 284	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies	Middle Eastern Studies		
1230	HIST 285	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies			
1232	HIST 293	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Middle Eastern Studies	Women's and Gender Studies		
1039	HIST 299	Environmental Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
1234	HIST 302	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies	Russian Area Studies		
150	HIST 311	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
151	HIST 312	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
152	HIST 314	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
153	HIST 319	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
154	HIST 320	American Studies	Environmental Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science		
155	HIST 321	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
661	HIST 325	Classical Civilization	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
1235	HIST 329	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
1236	HIST 330	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Medieval Renaissance Studies			
1237	HIST 334	History	International Relations - Economics	International Relations - Political Science					
156	HIST 340	American Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
1238	HIST 341	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
1239	HIST 350	History	International Relations - Political Science						
1240	HIST 350H	History	International Relations - Political Science						
1241	HIST 352	History	International Relations - Economics	International Relations - Political Science	Medieval Renaissance Studies				
1242	HIST 354	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Medieval Renaissance Studies			
1243	HIST 358	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies	Medieval Renaissance Studies		
1244	HIST 359	History	International Relations - Economics	International Relations - Political Science	Latin American Studies				
1245	HIST 360	History	International Relations - Political Science						
1246	HIST 364	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies	Middle Eastern Studies		
1248	HIST 365	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
1249	HIST 366	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies	Middle Eastern Studies		
1251	HIST 367	History	International Relations - Economics	International Relations - Political Science	Middle Eastern Studies	South Asia Studies			
1253	HIST 369	History	International Relations - Economics	International Relations - Political Science	Jewish Studies	Middle Eastern Studies			
1255	HIST 370	History	International Relations - Political Science						
1262	HIST 371	History							
1256	HIST 375	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
1257	HIST 376	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies			
1258	HIST 377	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies			
1259	HIST 379	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Medieval Renaissance Studies			
1260	HIST 383	History	International Relations - Economics	International Relations - History	International Relations - Political Science				
913	HIST 395	East Asian Studies	History	International Relations - Economics	International Relations - History	International Relations - Political Science			
1841	HNUR 201	South Asia Studies							
1842	HNUR 202	South Asia Studies							
1843	HNUR 304	South Asia Studies							
1430	ITAS 201	Italian Studies							
1431	ITAS 202	Italian Studies							
1432	ITAS 202W	Italian Studies							
1433	ITAS 203	Italian Studies							
1890	ITAS 210	Women's and Gender Studies							
1429	ITAS 212	Italian Studies							
1434	ITAS 220	Italian Studies							
1435	ITAS 250	Italian Studies							
1436	ITAS 250H	Italian Studies							
594	ITAS 261	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Italian Studies					
723	ITAS 263	Comparative Literary Studies	Medieval Renaissance Studies						
1437	ITAS 270	Italian Studies							
1438	ITAS 271	Italian Studies							
1439	ITAS 272	Italian Studies							
1440	ITAS 273	Italian Studies							
1441	ITAS 274	Italian Studies	Medieval Renaissance Studies	Women's and Gender Studies					
1442	ITAS 310	Italian Studies							
1443	ITAS 315	Italian Studies							
1444	ITAS 320	Italian Studies							
1445	ITAS 324	Italian Studies							
1446	ITAS 349	Italian Studies							
1447	ITAS 350	Italian Studies							
1448	ITAS 360	Italian Studies							
1449	ITAS 370	Italian Studies							
1613	JEST 104	Middle Eastern Studies							
893	JPN 201	East Asian Studies							
894	JPN 202	East Asian Studies							
895	JPN 231	East Asian Studies							
896	JPN 232	East Asian Studies							
725	JPN 251	Comparative Literary Studies	East Asian Languages and Cultures	East Asian Studies					
858	JPN 252	East Asian Languages and Cultures	East Asian Studies						
859	JPN 280	East Asian Languages and Cultures	East Asian Studies						
860	JPN 290	East Asian Languages and Cultures	East Asian Studies						
861	JPN 308	East Asian Languages and Cultures	East Asian Studies						
862	JPN 309	East Asian Languages and Cultures	East Asian Studies						
863	JPN 314	East Asian Languages and Cultures	East Asian Studies						
864	JPN 352	East Asian Languages and Cultures	East Asian Studies						
1891	JPN 353	Women's and Gender Studies							
865	JPN 356	East Asian Languages and Cultures	East Asian Studies						
561	JSWT 223	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after						
1450	JWST 102	Jewish Studies							
1469	JWST 211	Jewish Studies	Religion						
1466	JWST 233	Jewish Studies	Religion						
1470	JWST 250	Jewish Studies	Religion						
1471	JWST 250H	Jewish Studies	Religion						
129	JWST 270	American Studies	Comparative Literary Studies	Jewish Studies	Religion				
1467	JWST 274	Jewish Studies	Religion						
1508	JWST 277	Latin American Studies							
1468	JWST 290	Jewish Studies	Religion						
1472	JWST 345	Jewish Studies	Religion						
1473	JWST 350	Jewish Studies	Religion						
1474	JWST 350H	Jewish Studies	Religion						
1475	JWST 360	Jewish Studies	Religion						
1476	JWST 370	Jewish Studies	Religion						
1539	JWST 377	Latin American Studies							
1477	JWST 380	Jewish Studies	Religion						
897	KOR 201	East Asian Studies							
898	KOR 202	East Asian Studies							
694	KOR 206	Cognitive and Linguistic Sciences - Linguistics Concentration	East Asian Languages and Cultures	East Asian Studies					
866	KOR 209H	East Asian Languages and Cultures	East Asian Studies						
899	KOR 231	East Asian Studies							
900	KOR 232	East Asian Studies							
867	KOR 246	East Asian Languages and Cultures	East Asian Studies						
695	KOR 256	Cognitive and Linguistic Sciences - Linguistics Concentration	East Asian Languages and Cultures	East Asian Studies	Women's and Gender Studies				
901	KOR 309	East Asian Studies							
1541	LAST 101	Latin American Studies							
1296	LAST 207	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies				
1264	LAST 211	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies				
1304	LAST 217	International Relations - Economics	International Relations - History	Latin American Studies					
1544	LAST 221H	Latin American Studies							
1540	LAST 241	Latin American Studies							
1295	LAST 245	International Relations - Economics	International Relations - History	International Relations - Political Science	Latin American Studies				
1550	LAST 253	Latin American Studies							
1504	LAST 273	Latin American Studies							
1507	LAST 275	Latin American Studies							
1523	LAST 317	Latin American Studies							
618	LAT 101	Classical Civilization							
619	LAT 102	Classical Civilization							
620	LAT 202	Classical Civilization							
628	LAT 215	Classical Civilization							
621	LAT 250	Classical Civilization							
622	LAT 250H	Classical Civilization							
623	LAT 302	Classical Civilization							
624	LAT 304	Classical Civilization							
625	LAT 308	Classical Civilization							
626	LAT 310	Classical Civilization							
627	LAT 311	Classical Civilization							
629	LAT 350	Classical Civilization							
630	LAT 350H	Classical Civilization							
233	LING 114	Anthropology	Cognitive and Linguistic Sciences - Computer Science Concentration	Cognitive and Linguistic Sciences - Linguistics Concentration	Cognitive and Linguistic Sciences - Philosophy Concentration	Education Studies			
234	LING 238	Anthropology	Cognitive and Linguistic Sciences - Linguistics Concentration						
683	LING 240	Cognitive and Linguistic Sciences - Linguistics Concentration	Cognitive and Linguistic Sciences - Psychology Concentration						
235	LING 244	Anthropology	Cognitive and Linguistic Sciences - Linguistics Concentration	Cognitive and Linguistic Sciences - Psychology Concentration	Education Studies				
682	LING 246	Cognitive and Linguistic Sciences - Computer Science Concentration	Cognitive and Linguistic Sciences - Linguistics Concentration	East Asian Languages and Cultures	East Asian Studies				
684	LING 248	Cognitive and Linguistic Sciences - Linguistics Concentration	Education Studies						
1501	LING 270	Latin American Studies							
685	LING 312	Cognitive and Linguistic Sciences - Linguistics Concentration	Education Studies						
686	LING 315	Cognitive and Linguistic Sciences - Linguistics Concentration							
236	LING 338	Anthropology	Cognitive and Linguistic Sciences - Linguistics Concentration	Education Studies					
1557	MAS 115	Media Arts and Sciences	Music						
1674	MAS 121	Music							
1675	MAS 221	Music							
341	MAS 222	Art History	Media Arts and Sciences	Music					
1379	MAS 246	International Relations - History	International Relations - Political Science	Media Arts and Sciences	Music				
1565	MAS 250	Media Arts and Sciences	Music						
1566	MAS 250H	Media Arts and Sciences	Music						
1676	MAS 260	Music							
1677	MAS 350	Music							
1678	MAS 350H	Music							
1567	MAS 360	Media Arts and Sciences	Music						
1568	MAS 370	Media Arts and Sciences	Music						
487	MATH 115	Astrophysics	Mathematics						
1150	MATH 115Z	Mathematics							
488	MATH 116	Astrophysics	Biochemistry	Mathematics					
502	MATH 120	Biochemistry	Mathematics						
1170	MATH 203	Mathematics							
489	MATH 205	Astrophysics	Chemistry	Data Science	Mathematics				
840	MATH 206	Data Science	Mathematics						
1171	MATH 207Y	Mathematics							
392	MATH 215	Astronomy	Astrophysics	Chemical Physics	Chemistry	Mathematics	Neuroscience		
1172	MATH 223	Mathematics							
1173	MATH 223Y	Mathematics							
808	MATH 225	Computer Science	Mathematics						
1174	MATH 250	Mathematics							
1152	MATH 302	Mathematics							
1153	MATH 305	Mathematics							
1154	MATH 306	Mathematics							
1155	MATH 307	Mathematics							
1156	MATH 309	Mathematics							
1157	MATH 310	Mathematics							
1158	MATH 312	Mathematics							
1159	MATH 314	Mathematics							
1160	MATH 316	Mathematics							
1161	MATH 322	Mathematics							
1162	MATH 325	Mathematics							
1163	MATH 326	Mathematics							
1164	MATH 340	Mathematics							
1165	MATH 350	Mathematics							
1166	MATH 355	Mathematics							
1167	MATH 360	Mathematics							
1168	MATH 365	Mathematics							
1169	MATH 370	Mathematics							
1579	MER 211	Medieval Renaissance Studies	Religion						
1012	MER 214	English	English and Creative Writing	Medieval Renaissance Studies	Religion				
1577	MER 247	Medieval Renaissance Studies							
1458	MER 248	Jewish Studies	Latin American Studies						
724	MER 263	Comparative Literary Studies	Religion						
1265	MER 293	International Relations - Economics							
1580	MER 311	Medieval Renaissance Studies	Religion						
1017	MER 314	English	English and Creative Writing	Religion					
1800	MER 350	Religion							
1801	MER 360	Religion							
1802	MER 370	Religion							
1629	MES 250	Middle Eastern Studies	Religion						
1630	MES 250H	Middle Eastern Studies	Religion						
1582	MES 261	Medieval Renaissance Studies							
1454	MES 264	Jewish Studies							
1456	MES 265	Jewish Studies							
1631	MES 270H	Middle Eastern Studies	Religion						
1233	MES 293	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Middle Eastern Studies	Religion		
1610	MES 310	Middle Eastern Studies	Religion						
1632	MES 350	Middle Eastern Studies	Religion						
1633	MES 350H	Middle Eastern Studies	Religion						
1271	MES 358	International Relations - Economics	International Relations - History	Jewish Studies					
1634	MES 360	Middle Eastern Studies	Religion						
1247	MES 364	History	International Relations - Economics	International Relations - History	Jewish Studies	Middle Eastern Studies	Religion		
1584	MES 365	Medieval Renaissance Studies							
1250	MES 366	History	International Relations - Economics	International Relations - History	International Relations - Political Science	Jewish Studies	Middle Eastern Studies	Religion	
1254	MES 369	History	International Relations - Economics	International Relations - Political Science	Jewish Studies	Middle Eastern Studies	Religion		
1635	MES 370	Middle Eastern Studies	Religion						
1636	MUS 100	Music							
1655	MUS 105Y	Music							
1637	MUS 122	Music							
1656	MUS 123	Music							
1657	MUS 198	Music							
1642	MUS 199	Music							
1586	MUS 200	Medieval Renaissance Studies	Music						
1639	MUS 201	Music							
1640	MUS 202	Music							
36	MUS 209	Africana Studies - Africa Concentration	Africana Studies - United States Concentration	American Studies	Anthropology	Architecture	Music		
237	MUS 210	Anthropology	Latin American Studies	Music					
1647	MUS 212	Music							
1570	MUS 213	Media Arts and Sciences							
1552	MUS 214H	Latin American Studies							
1553	MUS 215	Latin American Studies	Music						
157	MUS 220	American Studies	Architecture	Music					
1650	MUS 222	Music	Women's and Gender Studies						
1893	MUS 224	Women's and Gender Studies							
1658	MUS 230	Music							
1659	MUS 235	Music							
1660	MUS 240	Music							
