	course	0	1	2	3	4	5	6	7
562	CAMS 235	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Media Arts and Sciences	Music				
564	CAMS 238	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Media Arts and Sciences	Music				
294	CAMS 239	Architecture	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Media Arts and Sciences	Music			
99	CAMS 240	American Studies	Latin American Studies						
101	CAMS 241	American Studies							
1848	CAMS 243	South Asia Studies							
1666	CAMS 250	Music							
1667	CAMS 250H	Music							
297	CAMS 255	Architecture	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Media Arts and Sciences	Music			
566	CAMS 261	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
567	CAMS 270	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after						
1290	CAMS 271	International Relations - Economics	International Relations - History	International Relations - Political Science	Music				
103	CAMS 272	American Studies	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after					
990	CAMS 276	Education Studies							
570	CAMS 277	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
568	CAMS 286	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	German Studies					
104	CAMS 292	American Studies							
572	CAMS 300	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after						
574	CAMS 301	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
1668	CAMS 302	Music							
1669	CAMS 304	Music							
1387	CAMS 305	International Relations - History	International Relations - Political Science	Music					
575	CAMS 310	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
576	CAMS 312	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after						
577	CAMS 313	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Media Arts and Sciences	Music				
1563	CAMS 318	Media Arts and Sciences							
579	CAMS 320	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after						
303	CAMS 321	Architecture	Media Arts and Sciences	Music					
580	CAMS 324	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
581	CAMS 327	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Music					
582	CAMS 335	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Media Arts and Sciences	Music				
584	CAMS 338	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Media Arts and Sciences	Music				
1670	CAMS 350	Music							
1671	CAMS 350H	Music							
1672	CAMS 360	Music							
586	CAMS 366	Cinema and Media Studies - entering in Fall 2020 and before	Cinema and Media Studies - entering in Spring 2021 and after	Media Arts and Sciences	Music				
1673	CAMS 370	Music							
1029	CHEM 103	Environmental Studies							
490	CHEM 105	Biochemistry	Biological Sciences	Chemical Physics	Chemistry	Environmental Studies			
491	CHEM 105P	Biochemistry	Biological Sciences						
492	CHEM 116	Biochemistry	Biological Sciences	Environmental Studies					
493	CHEM 120	Biochemistry	Biological Sciences	Chemical Physics	Chemistry				
503	CHEM 205	Biochemistry	Chemical Physics	Chemistry					
504	CHEM 211	Biochemistry	Chemical Physics	Chemistry	Neuroscience				
537	CHEM 212	Chemistry							
538	CHEM 223	Chemistry	Neuroscience						
1682	CHEM 227	Neuroscience							
539	CHEM 250	Chemistry							
540	CHEM 250H	Chemistry							
949	CHEM 302	Education Studies							
442	CHEM 303	Astronomy	Chemistry						
443	CHEM 304	Astronomy	Chemistry						
444	CHEM 307	Astronomy	Chemistry						
445	CHEM 309	Astronomy	Chemistry						
446	CHEM 310	Astronomy	Chemistry						
447	CHEM 318	Astronomy	Chemistry						
437	CHEM 320	Astronomy	Chemistry						
438	CHEM 323	Astronomy	Chemistry						
439	CHEM 324	Astronomy	Chemistry						
440	CHEM 325	Astronomy	Chemistry	Neuroscience					
448	CHEM 330	Astronomy	Chemical Physics	Chemistry					
449	CHEM 330X	Astronomy	Chemistry						
441	CHEM 331	Astronomy	Chemistry						
450	CHEM 334	Astronomy	Chemistry						
451	CHEM 335	Astronomy	Chemical Physics	Chemistry					
452	CHEM 341	Astronomy	Chemical Physics	Chemistry					
453	CHEM 350	Astronomy	Chemistry						
454	CHEM 350H	Astronomy	Chemistry						
455	CHEM 355	Astronomy	Chemistry						
456	CHEM 360	Astronomy	Chemistry						
457	CHEM 361	Astronomy	Chemistry						
458	CHEM 365	Astronomy	Chemistry						
